date,gz_spread,ebp,est_prob
JAN1973,1.1017,0.0043,0.2075624864
FEB1973,1.0396,-0.0140,0.2012259557
MAR1973,0.9917,-0.1129,0.168886936
APR1973,0.9502,-0.1658,0.1530499101
MAY1973,1.0056,-0.0551,0.1873486472
JUN1973,1.1387,0.0500,0.2239821896
JUL1973,0.9329,-0.3452,0.1068261001
AUG1973,0.9452,-0.1884,0.1465805965
SEP1973,0.7698,-0.3308,0.1101145296
OCT1973,1.2266,0.1417,0.2590468621
NOV1973,1.3080,0.0937,0.240351939
DEC1973,1.2390,0.0404,0.2204899476
JAN1974,1.1133,-0.0002,0.2060126503
FEB1974,1.2446,0.1996,0.2825505422
MAR1974,1.1615,-0.0729,0.1815357972
APR1974,1.1706,0.0917,0.2395780234
MAY1974,1.2141,0.1039,0.2442563969
JUN1974,1.7426,0.6841,0.5075557605
JUL1974,2.4310,1.1858,0.7370818268
AUG1974,1.9165,0.8299,0.5783942068
SEP1974,2.1780,0.9113,0.6170390317
OCT1974,2.3855,1.0105,0.6625004289
NOV1974,2.1976,1.0317,0.6719511216
DEC1974,2.5164,1.1777,0.7338176858
JAN1975,1.6583,0.4234,0.3817827959
FEB1975,1.5693,0.4435,0.391242085
MAR1975,1.8204,0.6125,0.472534253
APR1975,1.4612,0.2229,0.2923030224
MAY1975,1.5187,0.3536,0.3496085891
JUN1975,1.3843,0.2422,0.3004770795
JUL1975,1.4141,0.3723,0.3581381914
AUG1975,1.3900,0.2897,0.3210333487
SEP1975,1.3448,0.2875,0.3200650976
OCT1975,1.2752,0.0843,0.2367868807
NOV1975,1.2543,0.1680,0.2695838962
DEC1975,1.1804,-0.0590,0.1860648199
JAN1976,0.9556,-0.1583,0.1552318854
FEB1976,1.0410,-0.0631,0.1847098949
MAR1976,0.9816,-0.1103,0.1696929105
APR1976,1.0215,-0.0565,0.1869018354
MAY1976,0.9931,-0.1219,0.1661085531
JUN1976,0.9800,-0.0484,0.1895797976
JUL1976,0.9450,-0.0857,0.1774143896
AUG1976,0.8735,-0.1690,0.1521150775
SEP1976,0.8223,-0.2057,0.1417735222
OCT1976,0.8929,-0.1405,0.1604835556
NOV1976,0.8173,-0.3623,0.1030286462
DEC1976,1.0752,-0.0530,0.1880261665
JAN1977,0.9572,-0.3590,0.1037523211
FEB1977,0.9065,-0.2094,0.1407388463
MAR1977,0.8930,-0.1746,0.15049523
APR1977,0.8312,-0.2696,0.1249115198
MAY1977,0.7831,-0.2633,0.1264969296
JUN1977,0.8208,-0.2901,0.1198102004
JUL1977,0.8649,-0.1934,0.145189082
AUG1977,0.9100,-0.2072,0.1413608613
SEP1977,0.9257,-0.1559,0.1559398534
OCT1977,0.9232,-0.1598,0.1547775207
NOV1977,0.9226,-0.1482,0.1581959009
DEC1977,0.7811,-0.3477,0.1062773119
JAN1978,0.7529,-0.3332,0.1095711404
FEB1978,0.7067,-0.3365,0.1088081476
MAR1978,0.7107,-0.3375,0.1085763495
APR1978,0.7215,-0.2931,0.1190739298
MAY1978,0.7651,-0.2524,0.1293054437
JUN1978,0.6161,-0.4586,0.0833962651
JUL1978,0.6112,-0.3703,0.1012643047
AUG1978,0.5956,-0.3937,0.0962864903
SEP1978,0.6332,-0.3232,0.1118951045
OCT1978,0.5488,-0.4992,0.0760118823
NOV1978,0.6573,-0.2470,0.1307117685
DEC1978,0.6316,-0.3948,0.0960487108
JAN1979,0.6901,-0.2609,0.1271063862
FEB1979,0.6513,-0.3186,0.1129640161
MAR1979,0.6385,-0.1769,0.1498509063
APR1979,0.6323,-0.2286,0.1355594069
MAY1979,0.6936,-0.2594,0.1275083969
JUN1979,0.7237,-0.1847,0.1476366438
JUL1979,0.6410,-0.2548,0.1286800169
AUG1979,0.5778,-0.3267,0.111078202
SEP1979,0.6806,-0.1417,0.1601301435
OCT1979,0.7239,-0.7395,0.0420664776
NOV1979,0.7847,-0.1117,0.1692544202
DEC1979,0.8411,0.1463,0.260881639
JAN1980,0.8068,-0.0513,0.1886020626
FEB1980,0.8833,-0.4390,0.0871303841
MAR1980,0.9955,0.3300,0.3389342517
APR1980,1.1272,-0.4839,0.0787280069
MAY1980,0.9708,-0.0094,0.2028125045
JUN1980,0.9459,-0.0723,0.181740109
JUL1980,0.9618,0.1046,0.2445400987
AUG1980,0.8815,0.0020,0.2067688493
SEP1980,0.9252,-0.0283,0.1963222559
OCT1980,0.8653,-0.1590,0.1550079375
NOV1980,0.9893,0.3271,0.3376311828
DEC1980,1.1183,0.1068,0.2453556661
JAN1981,1.0909,0.4189,0.3796959841
FEB1981,0.9078,0.1723,0.2713235621
MAR1981,0.8731,0.0216,0.2137233586
APR1981,1.1424,0.5578,0.4459543706
MAY1981,1.2138,0.3918,0.3671182182
JUN1981,1.1075,0.4675,0.4025901929
JUL1981,1.1273,0.4625,0.4002107307
AUG1981,1.0208,0.3065,0.3284651859
SEP1981,1.1721,0.4460,0.392378651
OCT1981,1.3187,0.5961,0.4645698473
NOV1981,1.4749,0.2611,0.3086003697
DEC1981,1.4690,0.6112,0.4719319999
JAN1982,1.4868,0.8105,0.5690853816
FEB1982,1.4589,0.5738,0.4536852823
MAR1982,1.6386,0.9864,0.6516497346
APR1982,1.6516,0.8780,0.6013389611
MAY1982,1.5258,0.8133,0.5704280676
JUN1982,1.5581,0.7748,0.5518180827
JUL1982,1.6412,0.7313,0.5306506992
AUG1982,1.7391,-0.0039,0.2047178146
SEP1982,1.6400,0.5054,0.4206386242
OCT1982,1.7639,0.2046,0.2846200786
NOV1982,1.5723,0.5374,0.4360479175
DEC1982,1.5890,0.7330,0.5314427296
JAN1983,1.2629,0.3550,0.3502339989
FEB1983,1.3186,0.2992,0.3252361043
MAR1983,0.9979,0.1938,0.2801280272
APR1983,0.9322,0.0921,0.239724112
MAY1983,0.8593,-0.0905,0.1758979987
JUN1983,0.8440,0.0567,0.2264421695
JUL1983,0.8738,-0.1171,0.1675937073
AUG1983,0.8052,-0.1913,0.1457733507
SEP1983,0.8887,-0.0975,0.1736716143
OCT1983,0.8342,-0.0975,0.1736953576
NOV1983,0.9078,0.0203,0.2132533337
DEC1983,0.9321,0.0840,0.2366444101
JAN1984,0.8908,0.0047,0.2077365241
FEB1984,0.8693,-0.0789,0.179597078
MAR1984,0.9307,0.0184,0.2125563866
APR1984,0.9349,0.0809,0.2354899564
MAY1984,0.7446,-0.3209,0.1124137681
JUN1984,0.7486,-0.0619,0.1851044819
JUL1984,0.9115,-0.1454,0.1590343481
AUG1984,0.9050,0.1686,0.2698360916
SEP1984,0.8902,-0.0602,0.185674136
OCT1984,0.9276,-0.2560,0.1283804949
NOV1984,0.9211,-0.1265,0.1647242967
DEC1984,0.9360,-0.0511,0.1886649124
JAN1985,1.0523,-0.1028,0.1720066105
FEB1985,0.9362,-0.1436,0.1595757452
MAR1985,0.9867,0.0889,0.2385068745
APR1985,1.0545,-0.0696,0.1826111275
MAY1985,1.2060,-0.2716,0.1243950794
JUN1985,1.1827,0.1041,0.2443391131
JUL1985,1.1662,0.0767,0.2339012695
AUG1985,1.1739,0.0750,0.2332779854
SEP1985,1.1731,0.1745,0.2722090281
OCT1985,1.2580,0.2208,0.2914108188
NOV1985,1.3436,0.2229,0.2922964957
DEC1985,1.4195,-0.0353,0.1939554112
JAN1986,1.3876,0.2377,0.2985351508
FEB1986,1.6170,-0.2707,0.1246195283
MAR1986,2.0754,0.5461,0.4402551006
APR1986,1.9830,0.5041,0.4200250224
MAY1986,1.6496,-0.0145,0.20105761
JUN1986,1.9604,0.0107,0.2098179267
JUL1986,2.1571,0.7434,0.5365274944
AUG1986,2.3178,0.6773,0.5042276353
SEP1986,1.9737,0.3309,0.3393299065
OCT1986,1.9929,0.5328,0.4338211676
NOV1986,2.1152,0.6470,0.4894103236
DEC1986,2.0243,0.6972,0.5139577379
JAN1987,1.8975,0.5538,0.443980218
FEB1987,1.9928,0.6032,0.4680412522
MAR1987,1.9179,0.4902,0.4134046945
APR1987,1.7816,-0.3331,0.1095990799
MAY1987,1.7599,0.1806,0.2747118549
JUN1987,1.7096,0.1690,0.2699820136
JUL1987,1.6713,0.2672,0.3112337762
AUG1987,1.5988,0.2731,0.3137890466
SEP1987,1.5759,0.2621,0.3090284946
OCT1987,1.7084,-0.7418,0.0418156452
NOV1987,1.6939,0.2963,0.3239285663
DEC1987,1.6556,0.0016,0.2066433134
JAN1988,1.7435,-0.1816,0.1485156014
FEB1988,1.6875,0.2221,0.2919654109
MAR1988,1.5887,-0.0456,0.1904927913
APR1988,1.4761,0.0148,0.2112701557
MAY1988,1.4826,0.1123,0.2474997691
JUN1988,1.5467,0.2036,0.284210868
JUL1988,1.4420,-0.1000,0.1729091975
AUG1988,1.4337,0.1057,0.2449595189
SEP1988,1.5232,0.2951,0.3234394787
OCT1988,1.6738,0.4152,0.3779799333
NOV1988,1.6018,0.2889,0.3206702576
DEC1988,1.6149,0.4246,0.3823549349
JAN1989,1.6806,0.4071,0.3741957152
FEB1989,1.5608,0.2787,0.3162339219
MAR1989,1.6425,0.5286,0.4318388075
APR1989,1.7007,0.6228,0.4775792577
MAY1989,1.7677,0.4154,0.3780357224
JUN1989,1.9637,0.6869,0.5089558906
JUL1989,2.1005,0.9356,0.6283604271
AUG1989,1.9088,0.6174,0.4749448216
SEP1989,1.7321,0.6779,0.5045213101
OCT1989,1.6561,0.5476,0.4409753443
NOV1989,1.6396,0.6744,0.5028464456
DEC1989,1.5501,0.5539,0.4440647869
JAN1990,1.4424,0.2777,0.3157956992
FEB1990,1.4242,0.4252,0.3826452588
MAR1990,1.4310,0.4616,0.3997585774
APR1990,1.3442,0.1815,0.2750935789
MAY1990,1.2092,0.0979,0.2419393489
JUN1990,1.2266,0.1615,0.2669728192
JUL1990,1.1730,0.0914,0.2394773241
AUG1990,1.1181,-0.2101,0.1405627962
SEP1990,1.1300,0.0227,0.2140926826
OCT1990,1.4238,0.2296,0.2951031654
NOV1990,1.5677,0.3231,0.3358594104
DEC1990,1.6031,0.2996,0.3253925735
JAN1991,1.6265,0.3472,0.3466937096
FEB1991,1.4366,0.2497,0.3036662582
